make,model,price,year,kilometers,kilowatts,engine_type,created_at
renault,clio,300.00,2002,200000,55,petrol,2020-09-29
renault,clio,300.00,2002,210000,43,petrol,2020-05-03
renault,clio,300.00,2002,160000,55,petrol,2020-05-19
renault,clio,300.00,1999,170000,55,petrol,2020-07-30
renault,clio,300.00,2021,253000,72,petrol,2020-06-23
renault,clio,300.00,2000,134330,43,petrol,2020-09-14
renault,clio,300.00,1994,79,58,petrol,2020-05-11
renault,clio,300.00,1999,250000,43,petrol,2020-06-11
renault,clio,300.00,2004,255858,55,petrol,2020-10-07
renault,clio,300.00,2002,208991,55,petrol,2020-06-30
renault,clio,300.00,2001,208000,55,petrol,2020-08-24
renault,clio,300.00,2004,300000,43,petrol,2020-10-01
renault,clio,300.00,2004,300000,43,petrol,2020-09-29
renault,clio,300.00,1999,11000,43,petrol,2020-09-17
renault,clio,300.00,2000,75,55,petrol,2020-05-10
renault,clio,300.00,2000,320900,43,petrol,2020-05-19
renault,clio,300.00,2003,270000,55,petrol,2020-06-27
renault,clio,300.00,2000,210000,43,petrol,2020-06-20
renault,clio,300.00,2003,297000,55,petrol,2020-08-16
renault,clio,300.00,1998,180987,43,petrol,2020-09-27
renault,clio,300.00,2003,167000,72,petrol,2020-06-05
renault,clio,300.00,2001,220000,55,petrol,2020-07-06
renault,clio,300.00,2004,300000,43,petrol,2020-09-30
renault,clio,300.00,1997,66000,43,petrol,2020-08-29
renault,clio,300.00,2000,320900,43,petrol,2020-05-23
renault,clio,300.00,2004,269000,43,petrol,2020-05-23
renault,clio,300.00,1999,133930,43,petrol,2020-09-22
renault,clio,300.00,1999,199000,43,petrol,2020-05-07
renault,clio,300.00,2001,180000,43,petrol,2020-09-15
renault,clio,300.00,1999,60000,43,petrol,2020-06-23
renault,clio,300.00,2000,134000,43,petrol,2020-07-23
renault,clio,300.00,1999,208000,43,petrol,2020-06-03
renault,clio,300.00,1996,137000,55,petrol,2020-08-31
renault,clio,300.00,2001,292000,72,petrol,2020-05-27
renault,clio,300.00,1999,193000,43,petrol,2020-05-07
renault,clio,300.00,2002,159200,43,petrol,2020-08-24
renault,clio,300.00,2000,16500,43,petrol,2020-07-08
renault,clio,300.00,2000,211818,43,petrol,2020-06-01
renault,clio,300.00,1999,215300,41,petrol,2020-08-28
renault,clio,300.00,1999,200,55,petrol,2020-09-08
renault,clio,300.00,2004,174832,55,petrol,2020-08-03
renault,clio,300.00,2002,322266,48,diesel,2020-06-10
renault,clio,300.00,2004,230000,75,diesel,2020-05-31
renault,clio,320.00,2000,320900,43,petrol,2020-05-19
renault,clio,320.00,2001,130000,43,petrol,2020-09-12
renault,clio,320.00,2001,130000,43,petrol,2020-08-12
renault,clio,320.00,2001,180000,72,petrol,2020-06-17
renault,clio,320.00,2003,223000,55,petrol,2020-08-10
renault,clio,320.00,2003,143337,48,diesel,2020-04-26
renault,clio,320.00,2000,144000,43,petrol,2020-10-03
renault,clio,320.00,2004,143337,48,diesel,2020-04-30
renault,clio,320.00,2001,240000,55,petrol,2020-05-12
renault,clio,320.00,2000,200000,43,petrol,2020-06-30
renault,clio,320.00,2000,247000,72,petrol,2020-06-01
renault,clio,320.00,2000,208000,43,petrol,2020-07-11
renault,clio,320.00,2002,200000,55,petrol,2020-07-21
renault,clio,320.00,1998,204000,43,petrol,2020-05-11
renault,clio,320.00,2000,168000,72,petrol,2020-08-03
renault,clio,320.00,2001,185000,43,petrol,2020-05-23
renault,clio,320.00,2000,320900,43,petrol,2020-05-16
renault,clio,320.00,2002,255000,55,petrol,2020-07-12
renault,clio,320.00,2000,200000,43,petrol,2020-06-28
renault,clio,322.00,2000,250633,43,petrol,2020-10-02
renault,clio,323.00,2001,300000,48,diesel,2020-05-11
renault,clio,330.00,1996,76000,43,petrol,2020-09-18
renault,clio,330.00,1999,230000,43,petrol,2020-04-28
renault,clio,330.00,2000,111000,43,petrol,2020-05-25
renault,clio,330.00,1999,183000,43,petrol,2020-06-17
renault,clio,330.00,2002,242000,43,petrol,2020-08-14
